iso,pop
ABW,105845
AFG,37172386
AGO,30809762
ALB,2866376
AND,77006
ARB,419790588
ARE,9630959
ARG,44494502
ARM,2951776
ASM,55465
ATG,96286
AUS,24992369
AUT,8847037
AZE,9942334
BDI,11175378
BEL,11422068
BEN,11485048
BFA,19751535
BGD,161356039
BGR,7024216
BHR,1569439
BHS,385640
BIH,3323929
BLR,9485386
BLZ,383071
BMU,63968
BOL,11353142
BRA,209469333
BRB,286641
BRN,428962
BTN,754394
BWA,2254126
CAF,4666377
CAN,37058856
CEB,102511922
CHE,8516543
CHI,170499
CHL,18729160
CHN,1392730000
CIV,25069229
CMR,25216237
COD,84068091
COG,5244363
COL,49648685
COM,832322
CPV,543767
CRI,4999441
CSS,7358965
CUB,11338138
CUW,159849
CYM,64174
CYP,1189265
CZE,10625695
DEU,82927922
DJI,958920
DMA,71625
DNK,5797446
DOM,10627165
DZA,42228429
EAP,2081651801
EAR,3249140605
EAS,2328220870
ECA,417797257
ECS,918793590
ECU,17084357
EGY,98423595
EMU,341783171
ERI,
ESP,46723749
EST,1320884
ETH,109224559
EUU,513213363
FCS,515215936
FIN,5518050
FJI,883483
FRA,66987244
FRO,48497
FSM,112640
GAB,2119275
GBR,66488991
GEO,3731000
GHA,29767108
GIB,33718
GIN,12414318
GMB,2280102
GNB,1874309
GNQ,1308974
GRC,10727668
GRD,111454
GRL,56025
GTM,17247807
GUM,165768
GUY,779004
HIC,1210312147
HKG,7451000
HND,9587522
HPC,780234406
HRV,4089400
HTI,11123176
HUN,9768785
IBD,4772284113
IBT,6412522234
IDA,1640238121
IDB,555830605
IDN,267663435
IDX,1084407516
IMN,84077
IND,1352617328
INX,
IRL,4853506
IRN,81800269
IRQ,38433600
ISL,353574
ISR,8883800
ITA,60431283
JAM,2934855
JOR,9956011
JPN,126529100
KAZ,18276499
KEN,51393010
KGZ,6315800
KHM,16249798
KIR,115847
KNA,52441
KOR,51635256
KWT,4137309
LAC,609013934
LAO,7061507
LBN,6848925
LBR,4818977
LBY,6678567
LCA,181889
LCN,641357515
LDC,1009662578
LIC,705417321
LIE,37910
LKA,21670000
LMC,3022905169
LMY,6383958209
LSO,2108132
LTE,2288665963
LTU,2789533
LUX,607728
LVA,1926542
MAC,631636
MAF,37264
MAR,36029138
MCO,38682
MDA,3545883
MDG,26262368
MDV,515696
MEA,448912859
MEX,126190788
MHL,58413
MIC,5678540888
MKD,2082958
MLI,19077690
MLT,483530
MMR,53708395
MNA,382896715
MNE,622345
MNG,3170208
MNP,56882
MOZ,29495962
MRT,4403319
MUS,1265303
MWI,18143315
MYS,31528585
NAC,364290258
NAM,2448255
NCL,284060
NER,22442948
NGA,195874740
NIC,6465513
NLD,17231017
NOR,5314336
NPL,28087871
NRU,12704
NZL,4885500
OED,1303529456
OMN,4829483
OSS,30758989
PAK,212215030
PAN,4176873
PER,31989256
PHL,106651922
PLW,17907
PNG,8606316
POL,37978548
PRE,919485393
PRI,3195153
PRK,25549819
PRT,10281762
PRY,6956071
PSE,4569087
PSS,2457367
PST,1109997273
PYF,277679
QAT,2781677
ROU,19473936
RUS,144478050
RWA,12301939
SAS,1814388744
SAU,33699947
SDN,41801533
SEN,15854360
SGP,5638676
SLB,652858
SLE,7650154
SLV,6420744
SMR,33785
SOM,15008154
SRB,6982084
SSA,1078209758
SSD,10975920
SSF,1078306520
SST,40575321
STP,211028
SUR,575991
SVK,5447011
SVN,2067372
SWE,10183175
SWZ,1136191
SXM,40654
SYC,96762
SYR,16906283
TCA,37665
TCD,15477751
TEA,2056064424
TEC,459865205
TGO,7889094
THA,69428524
TJK,9100837
TKM,5850908
TLA,625569713
TLS,1267972
TMN,378327628
TON,103197
TSA,1814388744
TSS,1078306520
TTO,1389858
TUN,11565204
TUR,82319724
TUV,11508
TZA,56318348
UGA,42723139
UKR,44622516
UMC,2655635719
URY,3449299
USA,327167434
UZB,32955400
VCT,110210
VEN,28870195
VGB,29802
VIR,106977
VNM,95540395
VUT,292680
WLD,7594270356
WSM,196130
XKX,1845300
YEM,28498687
ZAF,57779622
ZMB,17351822
ZWE,14439018